subject,predicate,object,subject_name,object_name,KG_type,relation,category,classifier,auc_roc,log_odds_ratio,log_odds_ratio_95_ci_lower,log_odds_ratio_95_ci_upper,log_odds_ratio_95_ci,adjusted_p_value,positive_patient_count,negative_patient_count,total_sample_size,positive_patient_text,negative_patient_text,all_patient_text,,primary_knowledge_source,knowledge_level,agent_type
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005298,zoledronic acid,osteoporosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.8033,0.781,0.826,"[0.781,0.826]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0019369,zoledronic acid,complex regional pain syndrome,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.641,0.615,0.667,"[0.615,0.667]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0008399,zoledronic acid,sarcoidosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.6246,0.599,0.65,"[0.599,0.65]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005392,zoledronic acid,scoliosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.4599,0.397,0.523,"[0.397,0.523]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0007186,zoledronic acid,gerd,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.3514,0.328,0.375,"[0.328,0.375]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005178,zoledronic acid,osteoarthritis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.3487,0.327,0.37,"[0.327,0.37]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0000424,zoledronic acid,vitamin b12 deficiency,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.2221,0.196,0.248,"[0.196,0.248]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0043693,zoledronic acid,alcoholic liver disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.1791,0.156,0.202,"[0.156,0.202]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0021187,zoledronic acid,hyperlipidemia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.1137,0.091,0.136,"[0.091,0.136]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0004609,zoledronic acid,herpes simplex,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.1095,0.04,0.179,"[0.04,0.179]",0.002,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005101,zoledronic acid,ulcerative colitis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0976,0.067,0.128,"[0.067,0.128]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0004952,zoledronic acid,hodgkin disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0939,0.005,0.183,"[0.005,0.183]",0.038,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0004648,zoledronic acid,vascular dementia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0705,0.05,0.091,"[0.05,0.091]",1.00E-04,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
